No;Puskesmas;"Sangat
Pendek";Pendek;Normal;Tinggi;"Jumlah Balita
Diukur TB dan
atau PB";"Jumlah
Balita
Stunting";% Stunting;Tahun
1;TLANAKAN;44;120;2407;221;2792;164;5.87;2024
2;PADEMAWU;22;55;2939;25;3041;77;2.53;2024
3;SOPAAH;12;53;2426;10;2501;65;2.6;2024
4;GALIS;10;19;1794;176;1999;29;1.45;2024
5;LARANGAN;19;43;3224;65;3351;62;1.85;2024
6;TALANG;5;38;1206;2;1251;43;3.44;2024
7;TEJA;25;62;2824;9;2920;87;2.98;2024
8;KOWEL;61;147;3017;14;3239;208;6.42;2024
9;PROPPO;37;64;2137;36;2274;101;4.44;2024
10;PANAGUAN;43;88;3105;184;3420;131;3.83;2024
11;PALENGAAN;10;27;3696;136;3869;37;0.96;2024
12;PEGANTENAN;10;46;2952;6;3014;56;1.86;2024
13;BULANGAN HAJI;0;18;1747;85;1850;18;0.97;2024
14;KADUR;90;245;3089;75;3499;335;9.57;2024
15;PAKONG;60;149;1902;0;2111;209;9.9;2024
16;WARU;5;23;2575;7;2610;28;1.07;2024
17;TAMPOJUNG PREGI;15;11;1579;138;1743;26;1.49;2024
18;BATUMARMAR;5;116;5802;0;5923;121;2.04;2024
19;PASEAN;0;38;3318;9;3365;38;1.13;2024
20;BANDARAN;1;37;1887;58;1983;38;1.92;2024
21;LARANGAN BADUNG;3;4;2177;135;2319;7;0.3;2024
22;TLANAKAN;133;256;1963;37;389;2389;16.28;2023
23;PADEMAWU;42;24;1812;33;66;1911;3.45;2023
24;SOPAAH;27;150;2315;22;177;2514;7.04;2023
25;GALIS;23;51;1695;97;74;1866;3.97;2023
26;LARANGAN;13;52;1942;25;65;2032;3.2;2023
27;TALANG;2;49;1144;5;51;1200;4.25;2023
28;TEJA;18;50;2776;24;68;2868;2.37;2023
29;KOWEL;15;58;2008;114;73;2195;3.33;2023
30;PROPPO;36;73;1784;21;109;1914;5.69;2023
31;PANAGUAN;95;56;2227;235;151;2613;5.78;2023
32;PALENGAAN;18;14;3827;256;32;4115;0.78;2023
33;PEGANTENAN;23;57;2391;5;80;2476;3.23;2023
34;BULANGAN HAJI;14;16;1396;77;30;1503;2;2023
35;KADUR;42;126;2462;15;168;2645;6.35;2023
36;PAKONG;0;5;2178;0;5;2183;0.23;2023
37;WARU;2;49;1905;15;51;1971;2.59;2023
38;TAMPOJUNG PREGI;7;6;1365;71;13;1449;0.9;2023
39;BATUMARMAR;0;94;5593;0;94;5687;1.65;2023
40;PASEAN;1;45;1789;5;46;1840;2.5;2023
41;BANDARAN;5;21;1376;21;26;1423;1.83;2023
42;LARANGAN BADUNG;2;4;1767;186;6;1959;0.31;2023
43;TLANAKAN;127;246;1050;18;1441;373;25.88;2022
44;PADEMAWU;3;48;2404;4;2459;51;2.07;2022
45;SOPAAH;86;282;1981;21;2370;368;15.53;2022
46;GALIS;26;53;1327;164;1570;79;5.03;2022
47;LARANGAN;20;69;1920;36;2045;89;4.35;2022
48;TALANG;19;121;1007;2;1149;140;12.18;2022
49;TEJA;13;77;2859;57;3006;90;2.99;2022
50;KOWEL;38;101;2181;95;2415;139;5.76;2022
51;PROPPO;51;147;1640;7;1845;198;10.73;2022
52;PANAGUAN;127;180;2333;185;2825;307;10.87;2022
53;PALENGAAN;41;80;2368;101;2590;121;4.67;2022
54;PEGANTENAN;22;54;2162;212;2450;76;3.1;2022
55;BULANGAN HAJI;12;43;1400;2;1457;55;3.77;2022
56;KADUR;75;185;2279;49;2588;260;10.05;2022
57;PAKONG;0;19;1921;45;1985;19;0.96;2022
58;WARU;11;77;1912;24;2024;88;4.35;2022
59;TAMPOJUNG PREGI;4;14;1456;20;1494;18;1.2;2022
60;BATUMARMAR;28;81;3859;13;3981;109;2.74;2022
61;PASEAN;64;43;1708;464;2279;107;4.7;2022
62;BANDARAN;64;85;661;81;891;149;16.72;2022
63;LARANGAN BADUNG;18;31;1693;188;1930;49;2.54;2022
64;TLANAKAN;191;331;1711;99;2332;522;22.38;2022
65;PADEMAWU;89;330;4385;25;4829;419;8.68;2022
66;GALIS;26;53;1327;164;1570;79;5.03;2022
67;LARANGAN;39;190;2927;38;3194;229;7.17;2022
68;PAMEKASAN;51;178;5040;152;5421;229;4.22;2022
69;PROPPO;178;327;3973;192;4670;505;10.81;2022
70;PALENGAAN;59;111;4061;289;4520;170;3.76;2022
71;PEGANTENAN;34;97;3562;214;3907;131;3.35;2022
72;KADUR;75;185;2279;49;2588;260;10.05;2022
73;PAKONG;0;19;1921;45;1985;19;0.96;2022
74;WARU;15;91;3368;44;3518;106;3.01;2022
75;BATUMARMAR;28;81;3859;13;3981;109;2.74;2022
76;PASEAN;64;43;1708;464;2279;107;4.7;2022
77;TLANAKAN;212;504;1758;10;2484;716;28.82;2021
78;PADEMAWU;61;105;516;11;693;166;23.95;2021
79;SOPAAH;110;306;1587;11;2014;416;20.66;2021
80;GALIS;26;70;1348;30;1474;96;6.51;2021
81;LARANGAN;37;153;1841;24;2055;190;9.25;2021
82;TALANG;12;57;1027;8;1104;69;6.25;2021
83;TEJA;41;105;1069;5;1220;146;11.97;2021
84;KOWEL;29;55;1452;32;1568;84;5.36;2021
85;PROPPO;166;150;853;8;1177;316;26.85;2021
86;PANAGUAN;114;246;1570;44;1974;360;18.24;2021
87;PALENGAAN;24;51;2781;316;3172;75;2.36;2021
88;PEGANTENAN;35;100;1054;39;1228;135;10.99;2021
89;BULANGAN HAJI;19;41;1255;5;1320;60;4.55;2021
90;KADUR;105;190;601;29;925;295;31.89;2021
91;PAKONG;44;47;1588;59;1738;91;5.24;2021
92;WARU;17;98;1480;8;1603;115;7.17;2021
93;TAMPOJUNG PREGI;103;146;1291;23;1563;249;15.93;2021
94;BATUMARMAR;128;302;4472;190;5092;430;8.44;2021
95;PASEAN;16;51;1941;76;2084;67;3.21;2021
96;BANDARAN;51;54;1110;70;1285;105;8.17;2021
97;LARANGAN BADUNG;8;39;1925;98;2070;47;2.27;2021
98;TLANAKAN;263;558;2868;80;3769;821;21.78;2021
99;PADEMAWU;171;411;2103;22;2707;582;21.5;2021
100;GALIS;26;70;1348;30;1474;96;6.51;2021
101;LARANGAN;49;210;2868;32;3159;259;8.2;2021
102;PAMEKASAN;70;160;2521;37;2788;230;8.25;2021
103;PROPPO;280;396;2423;52;3151;676;21.45;2021
104;PALENGAAN;32;90;4706;414;5242;122;2.33;2021
105;PEGANTENAN;54;141;2309;44;2548;195;7.65;2021
106;KADUR;105;190;601;29;925;295;31.89;2021
107;PAKONG;44;47;1588;59;1738;91;5.24;2021
108;WARU;120;244;2771;31;3166;364;11.5;2021
109;BATUMARMAR;128;302;4472;190;5092;430;8.44;2021
110;PASEAN;16;51;1941;76;2084;67;3.21;2021
